Deutsch;Englisch;x;x
jetzt;now;;
heute;today;;x
morgen;tomorrow;;
gestern;yesterday;;
Sekunde;second;;
Minute;minute;;
Stunde;hour;;
Tag;day;;
Woche;week;;
Monat;month;;x
Jahr;year;;
fr�h;early;;
sp�t;late;;
Montag;Monday;;
Dienstag;Tuesday;;
Mittwoch;Wednesday;;
Donnerstag;Thursday;;
Freitag;Friday;;
Samstag;Saturday;;
Sonntag;Sunday;;
Fr�hling;spring;;
Sommer;summer;;
Herbst;fall (amerik.) / autumn (brit.);;
Winter;winter;;
Januar;January;;x
Februar;February;;
M�rz;March;;
April;April;;
Mai;May;;
Juni;June;;x
Juli;July;;
August;August;;x
September;September;;
Oktober;October;;x
November;November;;
Dezember;December;;
Uhrzeit;time;;
Wie sp�t ist es?;What time is it?;;x
Jahrzehnt;decade;;
Jahrhundert;century;;
Orte;Locations;;
Supermarkt;grocery store;;x
Krankenhaus;hospital;;
Bank;bank;;
Hotel;hotel;;
Bar;bar;;
Apotheke;pharmacy;;
Strand;beach;;
Restaurant;restaurant;;
Flughafen;airport;;x
B�ckerei;bakery;;
Bushaltestelle;bus station;;
Kirche;church;;
Kino;cinema;;
Tankstelle;gas station;;
Museum;museum;;
Polizeistation;police station;;
Schule;school;;
Platz;square;;
Supermarkt;supermarket;;
Zoo;zoo;;
